"id","name","description","invoice_label","sequence","amount","amount_type","type_tax_use","tax_group_id","is_withholding_tax_on_payment","l10n_ga_withholding_kind","tax_exigibility","price_include_override","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id"
"l10n_ga_ras_095","RAS 9,5 % prestataires","Précompte IRPP 9,5 % (art. 182 CGI, ID18)","RAS 9,5 %","90","-9.5","percent","purchase","l10n_ga_tax_group_ras","True","ras_095","on_invoice","tax_excluded","base","invoice",""
"","","","","","","","","","","","","","tax","invoice","pcg_4478"
"","","","","","","","","","","","","","base","refund",""
"","","","","","","","","","","","","","tax","refund","pcg_4478"
"l10n_ga_ras_20","RAS 20 % non-résidents","Retenue à la source 20 % (art. 206 CGI, ID27)","RAS 20 %","91","-20.0","percent","purchase","l10n_ga_tax_group_ras","True","ras_20","on_invoice","tax_excluded","base","invoice",""
"","","","","","","","","","","","","","tax","invoice","pcg_4478"
"","","","","","","","","","","","","","base","refund",""
"","","","","","","","","","","","","","tax","refund","pcg_4478"
